year,avg_life_exp,country_code,Country_Name
1960,,CYM,Cayman Islands
1961,,CYM,Cayman Islands
1962,,CYM,Cayman Islands
1963,,CYM,Cayman Islands
1964,,CYM,Cayman Islands
1965,,CYM,Cayman Islands
1966,,CYM,Cayman Islands
1967,,CYM,Cayman Islands
1968,,CYM,Cayman Islands
1969,,CYM,Cayman Islands
1970,,CYM,Cayman Islands
1971,,CYM,Cayman Islands
1972,,CYM,Cayman Islands
1973,,CYM,Cayman Islands
1974,,CYM,Cayman Islands
1975,,CYM,Cayman Islands
1976,,CYM,Cayman Islands
1977,,CYM,Cayman Islands
1978,,CYM,Cayman Islands
1979,,CYM,Cayman Islands
1980,,CYM,Cayman Islands
1981,,CYM,Cayman Islands
1982,,CYM,Cayman Islands
1983,,CYM,Cayman Islands
1984,,CYM,Cayman Islands
1985,,CYM,Cayman Islands
1986,,CYM,Cayman Islands
1987,,CYM,Cayman Islands
1988,,CYM,Cayman Islands
1989,,CYM,Cayman Islands
1990,,CYM,Cayman Islands
1991,,CYM,Cayman Islands
1992,,CYM,Cayman Islands
1993,,CYM,Cayman Islands
1994,,CYM,Cayman Islands
1995,,CYM,Cayman Islands
1996,,CYM,Cayman Islands
1997,,CYM,Cayman Islands
1998,,CYM,Cayman Islands
1999,,CYM,Cayman Islands
2000,,CYM,Cayman Islands
2001,,CYM,Cayman Islands
2002,,CYM,Cayman Islands
2003,,CYM,Cayman Islands
2004,,CYM,Cayman Islands
2005,,CYM,Cayman Islands
2006,,CYM,Cayman Islands
2007,,CYM,Cayman Islands
2008,,CYM,Cayman Islands
2009,,CYM,Cayman Islands
2010,84.7,CYM,Cayman Islands
2011,,CYM,Cayman Islands
2012,,CYM,Cayman Islands
2013,,CYM,Cayman Islands
2014,,CYM,Cayman Islands
2015,,CYM,Cayman Islands
2016,,CYM,Cayman Islands
2017,,CYM,Cayman Islands
2018,,CYM,Cayman Islands
2019,,CYM,Cayman Islands
2020,,CYM,Cayman Islands
2021,,CYM,Cayman Islands
2022,,CYM,Cayman Islands
2023,,CYM,Cayman Islands
2024,,CYM,Cayman Islands
2025,,CYM,Cayman Islands
2026,,CYM,Cayman Islands
2027,,CYM,Cayman Islands
2028,,CYM,Cayman Islands
2029,,CYM,Cayman Islands
2030,,CYM,Cayman Islands
2031,,CYM,Cayman Islands
2032,,CYM,Cayman Islands
2033,,CYM,Cayman Islands
2034,,CYM,Cayman Islands
2035,,CYM,Cayman Islands
2036,,CYM,Cayman Islands
2037,,CYM,Cayman Islands
2038,,CYM,Cayman Islands
2039,,CYM,Cayman Islands
2040,,CYM,Cayman Islands
2041,,CYM,Cayman Islands
2042,,CYM,Cayman Islands
2043,,CYM,Cayman Islands
2044,,CYM,Cayman Islands
2045,,CYM,Cayman Islands
2046,,CYM,Cayman Islands
2047,,CYM,Cayman Islands
2048,,CYM,Cayman Islands
2049,,CYM,Cayman Islands
2050,,CYM,Cayman Islands
2051,,CYM,Cayman Islands
2052,,CYM,Cayman Islands
2053,,CYM,Cayman Islands
2054,,CYM,Cayman Islands
2055,,CYM,Cayman Islands
2056,,CYM,Cayman Islands
2057,,CYM,Cayman Islands
2058,,CYM,Cayman Islands
2059,,CYM,Cayman Islands
2060,,CYM,Cayman Islands
1960,60.955,KWT,
1961,61.743,KWT,
1962,62.516000000000005,KWT,
1963,63.269,KWT,
1964,63.994,KWT,
1965,64.686,KWT,
1966,65.337,KWT,
1967,65.945,KWT,
1968,66.512,KWT,
1969,67.03699999999999,KWT,
1970,67.524,KWT,
1971,67.97399999999999,KWT,
1972,68.39699999999999,KWT,
1973,68.798,KWT,
1974,69.182,KWT,
1975,69.555,KWT,
1976,69.921,KWT,
1977,70.279,KWT,
1978,70.62899999999999,KWT,
1979,70.97,KWT,
1980,71.298,KWT,
1981,71.609,KWT,
1982,71.898,KWT,
1983,72.16199999999999,KWT,
1984,72.40100000000001,KWT,
1985,72.615,KWT,
1986,72.806,KWT,
1987,72.979,KWT,
1988,73.137,KWT,
1989,73.282,KWT,
1990,73.417,KWT,
1991,73.54,KWT,
1992,73.652,KWT,
1993,73.75399999999999,KWT,
1994,73.847,KWT,
1995,73.933,KWT,
1996,74.013,KWT,
1997,74.089,KWT,
1998,74.161,KWT,
1999,74.233,KWT,
2000,74.303,KWT,
2001,74.37100000000001,KWT,
2002,74.438,KWT,
2003,74.50399999999999,KWT,
2004,74.575,KWT,
2005,74.65899999999999,KWT,
2006,74.764,KWT,
2007,74.89399999999999,KWT,
2008,75.05,KWT,
2009,75.22800000000001,KWT,
2010,75.417,KWT,
2011,75.605,KWT,
2012,75.779,KWT,
2013,75.933,KWT,
2014,76.063,KWT,
2015,76.173,KWT,
2016,76.26899999999999,KWT,
2017,76.36399999999999,KWT,
2018,76.467,KWT,
2019,76.58,KWT,
2020,,KWT,
2021,,KWT,
2022,,KWT,
2023,,KWT,
2024,,KWT,
2025,77.39699999999999,KWT,
2026,,KWT,
2027,,KWT,
2028,,KWT,
2029,,KWT,
2030,78.053,KWT,
2031,,KWT,
2032,,KWT,
2033,,KWT,
2034,,KWT,
2035,78.688,KWT,
2036,,KWT,
2037,,KWT,
2038,,KWT,
2039,,KWT,
2040,79.304,KWT,
2041,,KWT,
2042,,KWT,
2043,,KWT,
2044,,KWT,
2045,79.892,KWT,
2046,,KWT,
2047,,KWT,
2048,,KWT,
2049,,KWT,
2050,80.471,KWT,
1960,,PLW,
1961,,PLW,
1962,,PLW,
1963,,PLW,
1964,,PLW,
1965,,PLW,
1966,,PLW,
1967,,PLW,
1968,,PLW,
1969,,PLW,
1970,,PLW,
1971,,PLW,
1972,,PLW,
1973,,PLW,
1974,,PLW,
1975,,PLW,
1976,,PLW,
1977,,PLW,
1978,,PLW,
1979,,PLW,
1980,,PLW,
1981,,PLW,
1982,,PLW,
1983,,PLW,
1984,,PLW,
1985,,PLW,
1986,,PLW,
1987,,PLW,
1988,,PLW,
1989,,PLW,
1990,74.98,PLW,
1991,,PLW,
1992,,PLW,
1993,,PLW,
1994,,PLW,
1995,76.9,PLW,
1996,,PLW,
1997,,PLW,
1998,,PLW,
1999,,PLW,
2000,74.54,PLW,
2001,,PLW,
2002,,PLW,
2003,,PLW,
2004,,PLW,
2005,72.1,PLW,
2006,,PLW,
2007,,PLW,
2008,,PLW,
2009,,PLW,
2010,,PLW,
2011,,PLW,
2012,,PLW,
2013,,PLW,
2014,,PLW,
2015,,PLW,
2016,,PLW,
2017,,PLW,
2018,,PLW,
2019,,PLW,
2020,,PLW,
2021,,PLW,
2022,,PLW,
2023,,PLW,
2024,,PLW,
2025,,PLW,
2026,,PLW,
2027,,PLW,
2028,,PLW,
2029,,PLW,
2030,,PLW,
2031,,PLW,
2032,,PLW,
2033,,PLW,
2034,,PLW,
2035,,PLW,
2036,,PLW,
2037,,PLW,
2038,,PLW,
2039,,PLW,
2040,,PLW,
2041,,PLW,
2042,,PLW,
2043,,PLW,
2044,,PLW,
2045,,PLW,
2046,,PLW,
2047,,PLW,
2048,,PLW,
2049,,PLW,
2050,,PLW,
1960,49.961999999999996,VUT,
1961,50.483000000000004,VUT,
1962,51.026,VUT,
1963,51.593999999999994,VUT,
1964,52.18600000000001,VUT,
1965,52.79600000000001,VUT,
1966,53.411,VUT,
1967,54.019,VUT,
1968,54.611999999999995,VUT,
