year,avg_life_exp,country_code,Country_Name
1960,,CYM,Cayman Islands
1961,,CYM,Cayman Islands
1962,,CYM,Cayman Islands
1963,,CYM,Cayman Islands
1964,,CYM,Cayman Islands
1965,,CYM,Cayman Islands
1966,,CYM,Cayman Islands
1967,,CYM,Cayman Islands
1968,,CYM,Cayman Islands
1969,,CYM,Cayman Islands
1970,,CYM,Cayman Islands
1971,,CYM,Cayman Islands
1972,,CYM,Cayman Islands
1973,,CYM,Cayman Islands
1974,,CYM,Cayman Islands
1975,,CYM,Cayman Islands
1976,,CYM,Cayman Islands
1977,,CYM,Cayman Islands
1978,,CYM,Cayman Islands
1979,,CYM,Cayman Islands
1980,,CYM,Cayman Islands
1981,,CYM,Cayman Islands
1982,,CYM,Cayman Islands
1983,,CYM,Cayman Islands
1984,,CYM,Cayman Islands
1985,,CYM,Cayman Islands
1986,,CYM,Cayman Islands
1987,,CYM,Cayman Islands
1988,,CYM,Cayman Islands
1989,,CYM,Cayman Islands
1990,,CYM,Cayman Islands
1991,,CYM,Cayman Islands
1992,,CYM,Cayman Islands
1993,,CYM,Cayman Islands
1994,,CYM,Cayman Islands
1995,,CYM,Cayman Islands
1996,,CYM,Cayman Islands
1997,,CYM,Cayman Islands
1998,,CYM,Cayman Islands
1999,,CYM,Cayman Islands
2000,,CYM,Cayman Islands
2001,,CYM,Cayman Islands
2002,,CYM,Cayman Islands
2003,,CYM,Cayman Islands
2004,,CYM,Cayman Islands
2005,,CYM,Cayman Islands
2006,,CYM,Cayman Islands
2007,,CYM,Cayman Islands
2008,,CYM,Cayman Islands
2009,,CYM,Cayman Islands
2010,79.8,CYM,Cayman Islands
2011,,CYM,Cayman Islands
2012,,CYM,Cayman Islands
2013,,CYM,Cayman Islands
2014,,CYM,Cayman Islands
2015,,CYM,Cayman Islands
2016,,CYM,Cayman Islands
2017,,CYM,Cayman Islands
2018,,CYM,Cayman Islands
2019,,CYM,Cayman Islands
2020,,CYM,Cayman Islands
2021,,CYM,Cayman Islands
2022,,CYM,Cayman Islands
2023,,CYM,Cayman Islands
2024,,CYM,Cayman Islands
2025,,CYM,Cayman Islands
2026,,CYM,Cayman Islands
2027,,CYM,Cayman Islands
2028,,CYM,Cayman Islands
2029,,CYM,Cayman Islands
2030,,CYM,Cayman Islands
2031,,CYM,Cayman Islands
2032,,CYM,Cayman Islands
2033,,CYM,Cayman Islands
2034,,CYM,Cayman Islands
2035,,CYM,Cayman Islands
2036,,CYM,Cayman Islands
2037,,CYM,Cayman Islands
2038,,CYM,Cayman Islands
2039,,CYM,Cayman Islands
2040,,CYM,Cayman Islands
2041,,CYM,Cayman Islands
2042,,CYM,Cayman Islands
2043,,CYM,Cayman Islands
2044,,CYM,Cayman Islands
2045,,CYM,Cayman Islands
2046,,CYM,Cayman Islands
2047,,CYM,Cayman Islands
2048,,CYM,Cayman Islands
2049,,CYM,Cayman Islands
2050,,CYM,Cayman Islands
2051,,CYM,Cayman Islands
2052,,CYM,Cayman Islands
2053,,CYM,Cayman Islands
2054,,CYM,Cayman Islands
2055,,CYM,Cayman Islands
2056,,CYM,Cayman Islands
2057,,CYM,Cayman Islands
2058,,CYM,Cayman Islands
2059,,CYM,Cayman Islands
2060,,CYM,Cayman Islands
1960,58.26,KWT,
1961,59.016000000000005,KWT,
1962,59.758,KWT,
1963,60.478,KWT,
1964,61.172,KWT,
1965,61.83,KWT,
1966,62.448,KWT,
1967,63.023999999999994,KWT,
1968,63.56,KWT,
1969,64.058,KWT,
1970,64.523,KWT,
1971,64.96,KWT,
1972,65.377,KWT,
1973,65.78399999999999,KWT,
1974,66.184,KWT,
1975,66.585,KWT,
1976,66.991,KWT,
1977,67.4,KWT,
1978,67.809,KWT,
1979,68.215,KWT,
1980,68.61399999999999,KWT,
1981,69.0,KWT,
1982,69.366,KWT,
1983,69.708,KWT,
1984,70.02199999999999,KWT,
1985,70.308,KWT,
1986,70.566,KWT,
1987,70.8,KWT,
1988,71.013,KWT,
1989,71.208,KWT,
1990,71.384,KWT,
1991,71.542,KWT,
1992,71.683,KWT,
1993,71.806,KWT,
1994,71.916,KWT,
1995,72.014,KWT,
1996,72.09899999999999,KWT,
1997,72.176,KWT,
1998,72.24600000000001,KWT,
1999,72.314,KWT,
2000,72.382,KWT,
2001,72.453,KWT,
2002,72.528,KWT,
2003,72.61,KWT,
2004,72.702,KWT,
2005,72.81,KWT,
2006,72.939,KWT,
2007,73.089,KWT,
2008,73.258,KWT,
2009,73.441,KWT,
2010,73.63,KWT,
2011,73.816,KWT,
2012,73.99,KWT,
2013,74.146,KWT,
2014,74.281,KWT,
2015,74.396,KWT,
2016,74.495,KWT,
2017,74.584,KWT,
2018,74.672,KWT,
2019,74.76,KWT,
2020,,KWT,
2021,,KWT,
2022,,KWT,
2023,,KWT,
2024,,KWT,
2025,75.337,KWT,
2026,,KWT,
2027,,KWT,
2028,,KWT,
2029,,KWT,
2030,75.845,KWT,
2031,,KWT,
2032,,KWT,
2033,,KWT,
2034,,KWT,
2035,76.388,KWT,
2036,,KWT,
2037,,KWT,
2038,,KWT,
2039,,KWT,
2040,76.943,KWT,
2041,,KWT,
2042,,KWT,
2043,,KWT,
2044,,KWT,
2045,77.51100000000001,KWT,
2046,,KWT,
2047,,KWT,
2048,,KWT,
2049,,KWT,
2050,78.105,KWT,
1960,,PLW,
1961,,PLW,
1962,,PLW,
1963,,PLW,
1964,,PLW,
1965,,PLW,
1966,,PLW,
1967,,PLW,
1968,,PLW,
1969,,PLW,
1970,,PLW,
1971,,PLW,
1972,,PLW,
1973,,PLW,
1974,,PLW,
1975,,PLW,
1976,,PLW,
1977,,PLW,
1978,,PLW,
1979,,PLW,
1980,,PLW,
1981,,PLW,
1982,,PLW,
1983,,PLW,
1984,,PLW,
1985,,PLW,
1986,,PLW,
1987,,PLW,
1988,,PLW,
1989,,PLW,
1990,63.44,PLW,
1991,,PLW,
1992,,PLW,
1993,,PLW,
1994,,PLW,
1995,67.03,PLW,
1996,,PLW,
1997,,PLW,
1998,,PLW,
1999,,PLW,
2000,66.64,PLW,
2001,,PLW,
2002,,PLW,
2003,,PLW,
2004,,PLW,
2005,66.3,PLW,
2006,,PLW,
2007,,PLW,
2008,,PLW,
2009,,PLW,
2010,,PLW,
2011,,PLW,
2012,,PLW,
2013,,PLW,
2014,,PLW,
2015,,PLW,
2016,,PLW,
2017,,PLW,
2018,,PLW,
2019,,PLW,
2020,,PLW,
2021,,PLW,
2022,,PLW,
2023,,PLW,
2024,,PLW,
2025,,PLW,
2026,,PLW,
2027,,PLW,
2028,,PLW,
2029,,PLW,
2030,,PLW,
2031,,PLW,
2032,,PLW,
2033,,PLW,
2034,,PLW,
2035,,PLW,
2036,,PLW,
2037,,PLW,
2038,,PLW,
2039,,PLW,
2040,,PLW,
2041,,PLW,
2042,,PLW,
2043,,PLW,
2044,,PLW,
2045,,PLW,
2046,,PLW,
2047,,PLW,
2048,,PLW,
2049,,PLW,
2050,,PLW,
1960,48.091,VUT,
1961,48.611000000000004,VUT,
1962,49.131,VUT,
1963,49.65,VUT,
1964,50.17,VUT,
1965,50.693999999999996,VUT,
1966,51.225,VUT,
1967,51.765,VUT,
1968,52.315,VUT,
1969,52.872,VUT,
1970,53.434,VUT,
1971,53.994,VUT,
1972,54.549,VUT,
