year,avg_life_exp,country_code,Country_Name
1960,,CYM,Cayman Islands
1961,,CYM,Cayman Islands
1962,,CYM,Cayman Islands
1963,,CYM,Cayman Islands
1964,,CYM,Cayman Islands
1965,,CYM,Cayman Islands
1966,,CYM,Cayman Islands
1967,,CYM,Cayman Islands
1968,,CYM,Cayman Islands
1969,,CYM,Cayman Islands
1970,,CYM,Cayman Islands
1971,,CYM,Cayman Islands
1972,,CYM,Cayman Islands
1973,,CYM,Cayman Islands
1974,,CYM,Cayman Islands
1975,,CYM,Cayman Islands
1976,,CYM,Cayman Islands
1977,,CYM,Cayman Islands
1978,,CYM,Cayman Islands
1979,,CYM,Cayman Islands
1980,,CYM,Cayman Islands
1981,,CYM,Cayman Islands
1982,,CYM,Cayman Islands
1983,,CYM,Cayman Islands
1984,,CYM,Cayman Islands
1985,,CYM,Cayman Islands
1986,,CYM,Cayman Islands
1987,,CYM,Cayman Islands
1988,,CYM,Cayman Islands
1989,,CYM,Cayman Islands
1990,,CYM,Cayman Islands
1991,,CYM,Cayman Islands
1992,,CYM,Cayman Islands
1993,,CYM,Cayman Islands
1994,,CYM,Cayman Islands
1995,,CYM,Cayman Islands
1996,,CYM,Cayman Islands
1997,,CYM,Cayman Islands
1998,,CYM,Cayman Islands
1999,,CYM,Cayman Islands
2000,,CYM,Cayman Islands
2001,,CYM,Cayman Islands
2002,,CYM,Cayman Islands
2003,,CYM,Cayman Islands
2004,,CYM,Cayman Islands
2005,,CYM,Cayman Islands
2006,,CYM,Cayman Islands
2007,,CYM,Cayman Islands
2008,,CYM,Cayman Islands
2009,,CYM,Cayman Islands
2010,82.19024390243901,CYM,Cayman Islands
2011,,CYM,Cayman Islands
2012,,CYM,Cayman Islands
2013,,CYM,Cayman Islands
2014,,CYM,Cayman Islands
2015,,CYM,Cayman Islands
2016,,CYM,Cayman Islands
2017,,CYM,Cayman Islands
2018,,CYM,Cayman Islands
2019,,CYM,Cayman Islands
2020,,CYM,Cayman Islands
2021,,CYM,Cayman Islands
2022,,CYM,Cayman Islands
2023,,CYM,Cayman Islands
2024,,CYM,Cayman Islands
2025,,CYM,Cayman Islands
2026,,CYM,Cayman Islands
2027,,CYM,Cayman Islands
2028,,CYM,Cayman Islands
2029,,CYM,Cayman Islands
2030,,CYM,Cayman Islands
2031,,CYM,Cayman Islands
2032,,CYM,Cayman Islands
2033,,CYM,Cayman Islands
2034,,CYM,Cayman Islands
2035,,CYM,Cayman Islands
2036,,CYM,Cayman Islands
2037,,CYM,Cayman Islands
2038,,CYM,Cayman Islands
2039,,CYM,Cayman Islands
2040,,CYM,Cayman Islands
2041,,CYM,Cayman Islands
2042,,CYM,Cayman Islands
2043,,CYM,Cayman Islands
2044,,CYM,Cayman Islands
2045,,CYM,Cayman Islands
2046,,CYM,Cayman Islands
2047,,CYM,Cayman Islands
2048,,CYM,Cayman Islands
2049,,CYM,Cayman Islands
2050,,CYM,Cayman Islands
2051,,CYM,Cayman Islands
2052,,CYM,Cayman Islands
2053,,CYM,Cayman Islands
2054,,CYM,Cayman Islands
2055,,CYM,Cayman Islands
2056,,CYM,Cayman Islands
2057,,CYM,Cayman Islands
2058,,CYM,Cayman Islands
2059,,CYM,Cayman Islands
2060,,CYM,Cayman Islands
1960,59.343,KWT,
1961,60.099,KWT,
1962,60.841,KWT,
1963,61.565,KWT,
1964,62.265,KWT,
1965,62.934,KWT,
1966,63.566,KWT,
1967,64.158,KWT,
1968,64.71300000000001,KWT,
1969,65.23100000000001,KWT,
1970,65.715,KWT,
1971,66.169,KWT,
1972,66.602,KWT,
1973,67.02,KWT,
1974,67.426,KWT,
1975,67.824,KWT,
1976,68.217,KWT,
1977,68.602,KWT,
1978,68.977,KWT,
1979,69.342,KWT,
1980,69.693,KWT,
1981,70.028,KWT,
1982,70.344,KWT,
1983,70.64,KWT,
1984,70.914,KWT,
1985,71.167,KWT,
1986,71.398,KWT,
1987,71.61,KWT,
1988,71.805,KWT,
1989,71.985,KWT,
1990,72.15,KWT,
1991,72.3,KWT,
1992,72.435,KWT,
1993,72.556,KWT,
1994,72.666,KWT,
1995,72.764,KWT,
1996,72.852,KWT,
1997,72.931,KWT,
1998,73.00399999999999,KWT,
1999,73.074,KWT,
2000,73.142,KWT,
2001,73.21,KWT,
2002,73.28,KWT,
2003,73.355,KWT,
2004,73.439,KWT,
2005,73.538,KWT,
2006,73.66,KWT,
2007,73.807,KWT,
2008,73.976,KWT,
2009,74.16199999999999,KWT,
2010,74.358,KWT,
2011,74.55,KWT,
2012,74.72800000000001,KWT,
2013,74.885,KWT,
2014,75.01899999999999,KWT,
2015,75.13,KWT,
2016,75.22399999999999,KWT,
2017,75.311,KWT,
2018,75.398,KWT,
2019,75.48899999999999,KWT,
2020,,KWT,
2021,,KWT,
2022,,KWT,
2023,,KWT,
2024,,KWT,
2025,76.119,KWT,
2026,,KWT,
2027,,KWT,
2028,,KWT,
2029,,KWT,
2030,76.671,KWT,
2031,,KWT,
2032,,KWT,
2033,,KWT,
2034,,KWT,
2035,77.251,KWT,
2036,,KWT,
2037,,KWT,
2038,,KWT,
2039,,KWT,
2040,77.844,KWT,
2041,,KWT,
2042,,KWT,
2043,,KWT,
2044,,KWT,
2045,78.443,KWT,
2046,,KWT,
2047,,KWT,
2048,,KWT,
2049,,KWT,
2050,79.059,KWT,
1960,,PLW,
1961,,PLW,
1962,,PLW,
1963,,PLW,
1964,,PLW,
1965,,PLW,
1966,,PLW,
1967,,PLW,
1968,,PLW,
1969,,PLW,
1970,,PLW,
1971,,PLW,
1972,,PLW,
1973,,PLW,
1974,,PLW,
1975,,PLW,
1976,,PLW,
1977,,PLW,
1978,,PLW,
1979,,PLW,
1980,,PLW,
1981,,PLW,
1982,,PLW,
1983,,PLW,
1984,,PLW,
1985,,PLW,
1986,,PLW,
1987,,PLW,
1988,,PLW,
1989,,PLW,
1990,69.06926829268289,PLW,
1991,,PLW,
1992,,PLW,
1993,,PLW,
1994,,PLW,
1995,71.84463414634149,PLW,
1996,,PLW,
1997,,PLW,
1998,,PLW,
1999,,PLW,
2000,70.49365853658541,PLW,
2001,,PLW,
2002,,PLW,
2003,,PLW,
2004,,PLW,
2005,69.1292682926829,PLW,
2006,,PLW,
2007,,PLW,
2008,,PLW,
2009,,PLW,
2010,,PLW,
2011,,PLW,
2012,,PLW,
2013,,PLW,
2014,,PLW,
2015,,PLW,
2016,,PLW,
2017,,PLW,
2018,,PLW,
2019,,PLW,
2020,,PLW,
2021,,PLW,
2022,,PLW,
2023,,PLW,
2024,,PLW,
2025,,PLW,
2026,,PLW,
2027,,PLW,
2028,,PLW,
2029,,PLW,
2030,,PLW,
2031,,PLW,
2032,,PLW,
2033,,PLW,
2034,,PLW,
2035,,PLW,
2036,,PLW,
2037,,PLW,
2038,,PLW,
2039,,PLW,
2040,,PLW,
2041,,PLW,
2042,,PLW,
2043,,PLW,
2044,,PLW,
2045,,PLW,
2046,,PLW,
2047,,PLW,
2048,,PLW,
2049,,PLW,
2050,,PLW,
1960,48.975,VUT,
1961,49.498000000000005,VUT,
1962,50.031000000000006,VUT,
1963,50.576,VUT,
1964,51.131,VUT,
1965,51.693999999999996,VUT,
1966,52.25899999999999,VUT,
1967,52.818999999999996,VUT,
1968,53.372,VUT,
1969,53.915,VUT,
1970,54.451,VUT,
